"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","ERP","MANUFACTURER 1","MANUFACTURER PART NUMBER 1","PACKAGE","SUPPLIER 1","SUPPLIER PART NUMBER 1","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"ESP32-WROOM-32E","ESP32-WROOM-32E","","","","Espressif Systems","*","*","","","ESP32-WROOM-32E","*","M?","ESP32-WROOM-32E Module"
"ESP32_MINI_1","ESP32_MINI_1","ESP32_MINI_1U","ERP_140-3","*","Espressif Systems","ESP32-MINI-1-N4","*","*","*","ESP32-MINI-1","*","M?","ESP32_C3_MINI_1 Module"
